time,X,DOC,type
0,JBLF,0.07702,Langmuir
0.1,JBLF,0.268015184,Langmuir
0.2,JBLF,0.419180253,Langmuir
0.3,JBLF,0.541139387,Langmuir
0.4,JBLF,0.643783622,Langmuir
0.5,JBLF,0.70974125,Langmuir
0.6,JBLF,0.766532209,Langmuir
0.7,JBLF,0.806122439,Langmuir
0.8,JBLF,0.836964123,Langmuir
0.9,JBLF,0.858372288,Langmuir
1,JBLF,0.877105617,Langmuir
1.1,JBLF,0.886821687,Langmuir
1.2,JBLF,0.896537756,Langmuir
1.3,JBLF,0.904938508,Langmuir
1.4,JBLF,0.908313504,Langmuir
1.5,JBLF,0.911688501,Langmuir
1.6,JBLF,0.915063497,Langmuir
1.7,JBLF,0.916718997,Langmuir
1.8,JBLF,0.91766653,Langmuir
1.9,JBLF,0.918614063,Langmuir
2,JBLF,0.919418795,Langmuir
2.1,JBLF,0.919683962,Langmuir
2.2,JBLF,0.919949129,Langmuir
2.3,JBLF,0.920214295,Langmuir
2.4,JBLF,0.920479462,Langmuir
2.5,JBLF,0.920744629,Langmuir
2.6,JBLF,0.920943697,Langmuir
2.7,JBLF,0.920879472,Langmuir
2.8,JBLF,0.920815247,Langmuir
2.9,JBLF,0.920751022,Langmuir
3,JBLF,0.920686797,Langmuir
3.1,JBLF,0.920622572,Langmuir
3.2,JBLF,0.920579625,Langmuir
3.3,JBLF,0.920626186,Langmuir
3.4,JBLF,0.920672747,Langmuir
3.5,JBLF,0.920719308,Langmuir
3.6,JBLF,0.920765869,Langmuir
3.7,JBLF,0.92081243,Langmuir
3.8,JBLF,0.920858991,Langmuir
3.9,JBLF,0.920905552,Langmuir
4,JBLF,0.920952112,Langmuir
4.1,JBLF,0.920998673,Langmuir
4.2,JBLF,0.921045234,Langmuir
4.3,JBLF,0.921091795,Langmuir
4.4,JBLF,0.921138356,Langmuir
4.5,JBLF,0.921184917,Langmuir
4.6,JBLF,0.921131783,Langmuir
4.7,JBLF,0.921003782,Langmuir
4.8,JBLF,0.920875782,Langmuir
4.9,JBLF,0.920747782,Langmuir
5,JBLF,0.920619781,Langmuir
5.1,JBLF,0.920491781,Langmuir
5.2,JBLF,0.920363781,Langmuir
5.3,JBLF,0.920325671,Langmuir
5.4,JBLF,0.920407023,Langmuir
5.5,JBLF,0.920488375,Langmuir
5.6,JBLF,0.920569727,Langmuir
5.7,JBLF,0.920651079,Langmuir
5.8,JBLF,0.92073243,Langmuir
5.9,JBLF,0.920813782,Langmuir
6,JBLF,0.920842359,Langmuir
6.1,JBLF,0.920740224,Langmuir
6.2,JBLF,0.920638089,Langmuir
6.3,JBLF,0.920535954,Langmuir
6.4,JBLF,0.92043382,Langmuir
6.5,JBLF,0.920331685,Langmuir
6.6,JBLF,0.92022955,Langmuir
6.7,JBLF,0.920127415,Langmuir
6.8,JBLF,0.92002528,Langmuir
6.9,JBLF,0.919923146,Langmuir
7,JBLF,0.919821011,Langmuir
7.1,JBLF,0.919718876,Langmuir
7.2,JBLF,0.919817245,Langmuir
7.3,JBLF,0.920030399,Langmuir
7.4,JBLF,0.920243554,Langmuir
7.5,JBLF,0.920456708,Langmuir
7.6,JBLF,0.920669863,Langmuir
7.7,JBLF,0.920883017,Langmuir
7.8,JBLF,0.921096171,Langmuir
7.9,JBLF,0.92104471,Langmuir
8,JBLF,0.920936883,Langmuir
8.1,JBLF,0.920829056,Langmuir
8.2,JBLF,0.920721228,Langmuir
8.3,JBLF,0.920613401,Langmuir
8.4,JBLF,0.920505573,Langmuir
8.5,JBLF,0.920400379,Langmuir
8.6,JBLF,0.920497416,Langmuir
8.7,JBLF,0.920594454,Langmuir
8.8,JBLF,0.920691491,Langmuir
8.9,JBLF,0.920788529,Langmuir
9,JBLF,0.920885566,Langmuir
9.1,JBLF,0.920982603,Langmuir
