"X","RMSE","AAE","MEF","SpCorr"
"JBHF",0.0956822912073604,0.0551486001510438,0.96707205796807,0.7
"JBHS",0.0152455556482539,0.00997150087353051,0.99984253432489,0.8
"JBLF",0.0562186128920403,0.0324360497443398,0.96729256830679,0.948683298050514
"JBLS",0.0288882641437596,0.0178604881963657,0.991953313793953,1
"TAHF",0.0635281756404286,0.0256661907711853,0.869369355378498,1
"TAHS",0.0820549987122557,0.047528659375813,0.974206321162203,0.4
"TALF",0.0620416746045242,0.0353505916854156,0.982168159654915,1
"TALS",0.0307574290429673,0.0201308767061415,0.990801316494901,0.8
"WCHF",0.0380539890376135,0.0209464826879588,0.826482232868103,0.632455532033676
"WCHS",0.0591014124127963,0.0353400480576452,0.973084509929976,1
"WCLF",0.0129033920057735,0.00842920677452654,0.991318483311034,1
"WCLS",0.00958893989013925,0.00598048592264894,0.99083920227837,0.894427190999916
"WIHF",0.0239476528851197,0.0127773522965658,0.979656175817146,1
"WIHS",0.0433865467062414,0.0221651122143852,0.891641444915511,0.820782681668123
"WILF",0.0364719597629181,0.0168867119135215,0.971420490755757,1
"WILS",0.0283230103737665,0.0134651366935742,0.953337566069998,0.8
"WMHF",0.063091190457879,0.0342406974987319,0.874153369196108,0.4
"WMHS",0.00653743290287084,0.00408922846713595,0.987340455457438,0.8
"WMLF",0.0304754445657212,0.0198793915627211,0.986818438415493,0.8
"WMLS",0.0169669752251158,0.0111063762107723,0.991140081948771,0.8
"PCHF",0.0991556578762856,0.079756672859953,0.903095137488654,0.714285714285714
"PCHS",0.0238231359667746,0.0118392805390692,0.119075035715442,0.632455532033676
"PCLF",0.0548776056755607,0.0327116701839714,0.932141283258607,0.9
"PCLS",0.0421427077650487,0.0278306126717545,0.91647224607485,0.820782681668123
"PIHF",0.0236438739543737,0.0150230842408531,0.965218505470079,0.461690258438319
"PIHS",0.0380582574479307,0.0178571556950207,0.822690991255041,0.316227766016838
"PILF",0.0202315550879688,0.0131180966625171,0.986733849457125,1
"PILS",0.0156263868350807,0.00918463164719385,0.97905654905639,1
"PMHF",0.104433692489141,0.0651383967966648,0.821269167069441,0.819688599970537
"PMHS",0.0222929310819156,0.0102356682757075,0.670290814795843,0.948683298050514
"PMLF",0.0274945802682306,0.0139893860318865,0.988600970591456,1
"PMLS",0.00559212304003714,0.00299847685514687,0.998846576647184,0.8
