time,X,DOC,type
0,JBLF,0.07702,linear
0.1,JBLF,0.226518735,linear
0.2,JBLF,0.357690222,linear
0.3,JBLF,0.472781223,linear
0.4,JBLF,0.573763065,linear
0.5,JBLF,0.662365409,linear
0.6,JBLF,0.740105874,linear
0.7,JBLF,0.808316033,linear
0.8,JBLF,0.868164218,linear
0.9,JBLF,0.920675534,linear
1,JBLF,0.966749419,linear
1.1,JBLF,1.007175045,linear
1.2,JBLF,1.04264484,linear
1.3,JBLF,1.073766346,linear
1.4,JBLF,1.101072625,linear
1.5,JBLF,1.125031391,linear
1.6,JBLF,1.14605302,linear
1.7,JBLF,1.16449758,linear
1.8,JBLF,1.180680997,linear
1.9,JBLF,1.194880467,linear
2,JBLF,1.207339206,linear
2.1,JBLF,1.218270611,linear
2.2,JBLF,1.227861921,linear
2.3,JBLF,1.236277419,linear
2.4,JBLF,1.24366125,linear
2.5,JBLF,1.250139888,linear
2.6,JBLF,1.255824301,linear
2.7,JBLF,1.260811854,linear
2.8,JBLF,1.265187976,linear
2.9,JBLF,1.269027624,linear
3,JBLF,1.272396564,linear
3.1,JBLF,1.275352501,linear
3.2,JBLF,1.277946066,linear
3.3,JBLF,1.280221683,linear
3.4,JBLF,1.282218329,linear
3.5,JBLF,1.283970203,linear
3.6,JBLF,1.285507312,linear
3.7,JBLF,1.286855986,linear
3.8,JBLF,1.288039323,linear
3.9,JBLF,1.289077594,linear
4,JBLF,1.289988582,linear
4.1,JBLF,1.29078789,linear
4.2,JBLF,1.291489211,linear
4.3,JBLF,1.292104555,linear
4.4,JBLF,1.292644464,linear
4.5,JBLF,1.293118184,linear
4.6,JBLF,1.293533831,linear
4.7,JBLF,1.293898522,linear
4.8,JBLF,1.294218506,linear
4.9,JBLF,1.294499263,linear
5,JBLF,1.294745601,linear
5.1,JBLF,1.29496174,linear
5.2,JBLF,1.295151383,linear
5.3,JBLF,1.295317777,linear
5.4,JBLF,1.295463772,linear
5.5,JBLF,1.29559187,linear
5.6,JBLF,1.295704264,linear
5.7,JBLF,1.295802879,linear
5.8,JBLF,1.295889406,linear
5.9,JBLF,1.295965324,linear
6,JBLF,1.296031936,linear
6.1,JBLF,1.296090382,linear
6.2,JBLF,1.296141663,linear
6.3,JBLF,1.296186657,linear
6.4,JBLF,1.296226135,linear
6.5,JBLF,1.296260774,linear
6.6,JBLF,1.296291166,linear
6.7,JBLF,1.296317832,linear
6.8,JBLF,1.29634123,linear
6.9,JBLF,1.296361759,linear
7,JBLF,1.296379771,linear
7.1,JBLF,1.296395575,linear
7.2,JBLF,1.296409442,linear
7.3,JBLF,1.296421609,linear
7.4,JBLF,1.296432284,linear
7.5,JBLF,1.296441651,linear
7.6,JBLF,1.296449869,linear
7.7,JBLF,1.29645708,linear
7.8,JBLF,1.296463407,linear
7.9,JBLF,1.296468958,linear
8,JBLF,1.296473829,linear
8.1,JBLF,1.296478102,linear
8.2,JBLF,1.296481852,linear
8.3,JBLF,1.296485142,linear
8.4,JBLF,1.296488028,linear
8.5,JBLF,1.296490561,linear
8.6,JBLF,1.296492783,linear
8.7,JBLF,1.296494733,linear
8.8,JBLF,1.296496444,linear
8.9,JBLF,1.296497945,linear
9,JBLF,1.296499262,linear
9.1,JBLF,1.296500418,linear
9.2,JBLF,1.296501432,linear
9.3,JBLF,1.296502322,linear
9.4,JBLF,1.296503102,linear
9.5,JBLF,1.296503787,linear
9.6,JBLF,1.296504388,linear
9.7,JBLF,1.296504915,linear
9.8,JBLF,1.296505378,linear
9.9,JBLF,1.296505784,linear
10,JBLF,1.29650614,linear
10.1,JBLF,1.296506452,linear
