"time","DOC.x","DOC.y","Cs","X"
0,8.867,8.867,4.284,"JBHF"
0.3,8.0349,8.29806608238732,4.85293391761267,"JBHF"
1.05,7.872,7.63365895309835,5.51734104690167,"JBHF"
6.05,7.2459,7.32729653620375,5.82370346379627,"JBHF"
12.05,7.3149,7.32715590003419,5.82384409996582,"JBHF"
24.05,7.2519,7.32715588616097,5.82384411383905,"JBHF"
0,8.385,8.385,4.5,"JBHS"
1.05,5.1021,5.10207054293321,7.78292945706679,"JBHS"
6.05,4.7049,4.68090472569096,8.2040952743091,"JBHS"
12.05,4.6569,4.68089129202471,8.20410870797516,"JBHS"
24.05,4.659,4.68089129197081,8.20410870802884,"JBHS"
0,0.07702,0.07702,4.242,"JBLF"
1.05,0.9498,0.949805636370971,3.36921436362903,"JBLF"
6.05,0.9276,0.975000033880991,3.34401996611906,"JBLF"
12.05,1.0224,0.975000034906644,3.34401996509345,"JBLF"
24.05,1.0989,0.975000034906644,3.34401996509345,"JBLF"
0,0.10532,0.10532,4.5,"JBLS"
1.05,0.9078,0.907774790840768,3.69754520915922,"JBLS"
6.05,1.0347,1.06619985331795,3.53912014668204,"JBLS"
12.05,1.0977,1.06622952756549,3.53909047243457,"JBLS"
24.05,1.1262,1.06622952856401,3.53909047143608,"JBLS"
0,8.78,8.78,2.0298,"TAHF"
1.05,9.1161,9.11604203145822,1.69375796854176,"TAHF"
6.05,9.231,9.23691568321282,1.57288431678738,"TAHF"
12.05,9.243,9.23713225029524,1.57266774970471,"TAHF"
24.05,9.405,9.23713235970399,1.57266764029542,"TAHF"
0,8.413,8.413,1.93,"TAHS"
1.05,6.945,6.94499046331844,3.39800953668157,"TAHS"
6.05,6.8721,6.80249880822403,3.54050119177601,"TAHS"
12.05,6.7329,6.80249743194165,3.54050256805845,"TAHS"
24.05,6.996,6.80249743194049,3.54050256805971,"TAHS"
0,0.12164,0.12164,2.0298,"TALF"
1.05,1.2765,1.27647714722659,0.874962852773416,"TALF"
6.05,1.4328,1.48230271747998,0.669137282520034,"TALF"
12.05,1.5318,1.48232829182126,0.669111708178723,"TALF"
24.05,1.6308,1.48232829234714,0.669111707652819,"TALF"
0,0.12432,0.12432,1.9686,"TALS"
1.05,0.9192,0.91914499159936,1.17377500840063,"TALS"
6.05,1.0371,1.08480810513426,1.00811189486574,"TALS"
12.05,1.1325,1.08484657354431,1.00807342645568,"TALS"
24.05,1.1304,1.0848465752195,1.0080734247805,"TALS"
0,3.0025,3.0025,1.0149,"WCHF"
1.05,2.779,2.77899943543652,1.23840056456348,"WCHF"
6.05,2.74575,2.77237463025984,1.24502536974018,"WCHF"
12.05,2.799,2.77237462995506,1.24502537004499,"WCHF"
24.05,2.679,2.77237462995506,1.24502537004499,"WCHF"
0,2.9545,2.9545,0.939266667,"WCHS"
1.05,2.094,2.09407427555874,1.79969239144125,"WCHS"
6.05,1.9665,1.90998790720692,1.98377875979307,"WCHS"
12.05,1.8535,1.90994052784609,1.98382613915391,"WCHS"
24.05,1.7755,1.90994052551171,1.98382614148829,"WCHS"
0,0.04185,0.04185,0.995,"WCLF"
1.05,0.3475,0.34577792424214,0.691072075757861,"WCLF"
6.05,0.43725,0.456557200708826,0.580292799291168,"WCLF"
12.05,0.47495,0.456765153835015,0.580084846164992,"WCLF"
24.05,0.47775,0.456765264932885,0.580084735067142,"WCLF"
0,0.0721,0.0721,0.932833333,"WCLS"
0.22,0.31065,0.308584856414049,0.696348476585955,"WCLS"
0.3,0.33325,0.336296968284065,0.668636364715939,"WCLS"
6.05,0.35605,0.373272503682335,0.631660829317676,"WCLS"
12.05,0.3913,0.373272503682335,0.631660829317676,"WCLS"
24.05,0.3769,0.373272503682335,0.631660829317676,"WCLS"
0,3.103,3.103,1.048066667,"WIHF"
0.3,3.2265,3.20332479798807,0.947741869011928,"WIHF"
1.05,3.36,3.37109444240966,0.779972224590332,"WIHF"
6.05,3.567,3.57486094148632,0.576205725513683,"WIHF"
12.05,3.588,3.57884240818305,0.572224258816961,"WIHF"
24.05,3.64,3.57887767408339,0.572188992916472,"WIHF"
0,2.9545,2.9545,0.9843,"WIHS"
