 ,Post DOC (mg/L),DOC
JBHF1,294.23,8.8269
JBHS1,213.93,6.4179
JBLF1,22.33,0.6699
JBLS1,23.03,0.6909
JBHF2,324.2,9.726
JBHS2,219.63,6.5889
JBLF2,32.92,0.9876
JBLS2,32.74,0.9822
JBHF3,267.83,8.0349
JBHS3,176.9,5.307
JBLF3,27.28,0.8184
JBLS3,28.99,0.8697
JBHF4,262.4,7.872
JBHS4,170.07,5.1021
JBLF4,31.66,0.9498
JBLS4,30.26,0.9078
JBHF5,241.53,7.2459
JBHS5,156.83,4.7049
JBLF5,30.92,0.9276
JBLS5,34.49,1.0347
JBHF6,243.83,7.3149
JBHS6,155.23,4.6569
JBLF6,34.08,1.0224
JBLS6,36.59,1.0977
JBHF7,241.73,7.2519
JBHS7,155.3,4.659
JBLF7,36.63,1.0989
JBLS7,37.54,1.1262
TAHF1,300.6,9.018
TAHS1,248.27,7.4481
TALF1,33.31,0.9993
TALS1,21.7,0.651
TAHF2,358.43,10.7529
TAHS2,284.67,8.5401
TALF2,47.81,1.4343
TALS2,43.59,1.3077
TAHF3,346.73,10.4019
TAHS3,280.13,8.4039
TALF3,40.63,1.2189
TALS3,33.62,1.0086
TAHF4,303.87,9.1161
TAHS4,231.5,6.945
TALF4,42.55,1.2765
TALS4,30.64,0.9192
TAHF5,307.7,9.231
TAHS5,229.07,6.8721
TALF5,47.76,1.4328
TALS5,34.57,1.0371
TAHF6,308.1,9.243
TAHS6,224.43,6.7329
TALF6,51.06,1.5318
TALS6,37.75,1.1325
TAHF7,313.5,9.405
TAHS7,233.2,6.996
TALF7,54.36,1.6308
TALS7,37.68,1.1304
WCHF1,200.4333333,6.013
WCHS1,182.1666667,5.465
WCLF1,23.27,0.6981
WCLS1,28.46333333,0.8539
WCHF2,169.2666667,2.539
WCHS2,124.8666667,1.873
WCLF2,20.93333333,0.314
WCLS2,20.71,0.31065
WCHF3,177.9333333,2.669
WCHS3,129.6333333,1.9445
WCLF3,21.51333333,0.3227
WCLS3,22.21666667,0.33325
WCHF4,185.2666667,2.779
WCHS4,139.6,2.094
WCLF4,23.16666667,0.3475
WCLS4,20.45666667,0.30685
WCHF5,183.05,2.74575
WCHS5,131.1,1.9665
WCLF5,29.15,0.43725
WCLS5,23.73666667,0.35605
WCHF6,186.6,2.799
WCHS6,123.5666667,1.8535
WCLF6,31.66333333,0.47495
WCLS6,26.08666667,0.3913
WCHF7,178.6,2.679
WCHS7,118.3666667,1.7755
WCLF7,31.85,0.47775
WCLS7,25.12666667,0.3769
WIHF1,223.05,3.34575
WIHS1,194.95,2.92425
WILF1,21.50666667,0.3226
WILS1,18.54333333,0.27815
WIHF2,221.9666667,3.3295
WIHS2,175.8666667,2.638
WILF2,30.21666667,0.45325
WILS2,21.21,0.31815
WIHF3,215.1,3.2265
WIHS3,168.35,2.52525
WILF3,29.93,0.44895
WILS3,23.18,0.3477
WIHF4,224,3.36
WIHS4,175.35,2.63025
WILF4,36.97,0.55455
WILS4,25.55666667,0.38335
WIHF5,237.8,3.567
WIHS5,169.1,2.5365
WILF5,45.21333333,0.6782
WILS5,30.92,0.4638
WIHF6,239.2,3.588
WIHS6,168.25,2.52375
WILF6,46.76,0.7014
WILS6,29.53666667,0.44305
WIHF7,242.6666667,3.64
WIHS7,175.7,2.6355
WILF7,52.33333333,0.785
WILS7,35.12666667,0.5269
WMHF1,253.2,3.798
WMHS1,224.9,3.3735
WMLF1,70.52333333,1.05785
WMLS1,43.095,0.646425
WMHF2,240.1333333,3.602
WMHS2,203.6333333,3.0545
WMLF2,52.43,0.78645
WMLS2,40.75,0.61125
WMHF3,239.1333333,3.587
WMHS3,200.1666667,3.0025
WMLF3,54.095,0.811425
WMLS3,37.22666667,0.5584
WMHF4,221,3.315
WMHS4,186.3,2.7945
WMLF4,41.65333333,0.6248
WMLS4,33.24,0.4986
WMHF5,235.1,3.5265
WMHS5,186.1,2.7915
WMLF5,52.31666667,0.78475
WMLS5,42.49666667,0.63745
WMHF6,241.15,3.61725
WMHS6,184.55,2.76825
WMLF6,58.89666667,0.88345
WMLS6,39.08,0.5862
WMHF7,228.1,3.4215
WMHS7,184.9666667,2.7745
WMLF7,58.35333333,0.8753
WMLS7,42.55,0.63825
PCHF1,250.2666667,3.754
PCHS1,219.35,3.29025
PCLF1,29.99,0.44985
PCLS1,24.09333333,0.3614
PCHF2,217.1333333,3.257
PCHS2,145.4,2.181
PCLF2,30.12333333,0.45185
PCLS2,23.18,0.3477
PCHF3,220.0666667,3.301
PCHS3,186.6666667,2.8
PCLF3,29.81,0.44715
PCLS3,24.75,0.37125
PCHF4,254.6,3.819
PCHS4,203.95,3.05925
PCLF4,39.05666667,0.58585
PCLS4,27.59333333,0.4139
PCHF5,264.05,3.96075
PCHS5,204.45,3.06675
PCLF5,48.13666667,0.72205
PCLS5,35.35,0.53025
PCHF6,244.6333333,3.6695
PCHS6,203,3.045
PCLF6,45.18333333,0.67775
PCLS6,32.58666667,0.4888
PCHF7,263.55,3.95325
PCHS7,207.8,3.117
PCLF7,53.72666667,0.8059
PCLS7,37.46666667,0.562
PIHF1,220.3333333,3.305
PIHS1,198.6,2.979
PILF1,25.66666667,0.385
PILS1,20.87333333,0.3131
PIHF2,217.9333333,3.269
PIHS2,183.8333333,2.7575
PILF2,31.59333333,0.4739
PILS2,21.68666667,0.3253
PIHF3,220.5,3.3075
PIHS3,175.1666667,2.6275
PILF3,29.48,0.4422
PILS3,22.94666667,0.3442
PIHF4,231.7,3.4755
