"X","RMSE","AAE","MEF","SpCorr"
"JBHF",0.108031370121684,0.0617249149694611,0.959559492551178,0.7
"JBHS",0.0122754786050694,0.00655886300890085,0.999891685834701,0.8
"JBLF",0.0501397448177947,0.0244722237939548,0.974244511325655,0.948683298050514
"JBLS",0.0255981269264768,0.0130665932899621,0.993341684397923,1
"TAHF",0.0634867573429955,0.0248276226489347,0.866247700778619,1
"TAHS",0.0777239129129023,0.0375870766689601,0.976184556788182,0.4
"TALF",0.059150290913096,0.028280895515002,0.983110393826995,1
"TALS",0.0249169093133992,0.0133231228052621,0.993679892165175,0.8
"WCHF",0.0366990304457231,0.0171429377947833,0.829220711751391,0.632455532033676
"WCHS",0.0551100115357161,0.0272793327023619,0.975758977243228,1
"WCLF",0.0105153851963748,0.00584166528427997,0.993859751194212,1
"WCLS",0.00955457111347182,0.00584894855765934,0.990796459862503,0.894427190999916
"WIHF",0.0251245031299482,0.0144737230331154,0.981280266142157,1
"WIHS",0.0515630696579356,0.0299321262390553,0.894197040542555,0.820782681668123
"WILF",0.0362200809420857,0.0152439117734928,0.970149231435456,1
"WILS",0.0280452946819632,0.0119821568423561,0.950669574433438,1
"WMHF",0.0609318302788659,0.0289272246256862,0.868768241184427,0.8
"WMHS",0.00484061926196516,0.00242863798613031,0.993006775485562,0.948683298050514
"WMLF",0.0240921734784519,0.0128968292241361,0.991320522498987,0.8
"WMLS",0.0139126537327256,0.00744880115081058,0.993196519296795,1
"PCHF",0.0993246045462832,0.078340102207783,0.906704642615338,0.714285714285714
"PCHS",0.023465893997221,0.0102857770805232,0.209698042499884,0.632455532033676
"PCLF",0.0512681211532495,0.0283009771056952,0.943210897197299,0.820782681668123
"PCLS",0.0351928861741934,0.0205802112810253,0.942386305100779,0.820782681668123
"PIHF",0.0237441553287483,0.0147401296584732,0.963959531368859,0.820782681668123
"PIHS",0.0377397147628728,0.016000302378484,0.807676261692724,0.632455532033676
"PILF",0.0173329834308648,0.00917657952900148,0.989903126271641,1
"PILS",0.0147029694639476,0.00718492001452926,0.980844943519413,1
"PMHF",0.0999464906675391,0.0542424950921505,0.846467999307352,0.819688599970537
"PMHS",0.0237552334283809,0.0120995615433238,0.619999369260241,0.948683298050514
"PMLF",0.0269794881048896,0.0120031553927015,0.988200123156631,1
"PMLS",0.00542946412333254,0.0024963107218398,0.99879125131534,1
