X,simp,sat,td,tdcomb
JBHF,0.319216476,0.339755578,0.347552384,0.252101058
JBHS,1.36560639,0.155244573,0.246332117,0.183699494
JBLF,0.319216476,0.339755578,0.079480986,0.252101058
JBLS,1.36560639,0.155244573,0.082531788,0.183699494
PCHF,0.557823484,0.411922113,0.3575005,0.263575884
PCHS,0.2374019,0.120862774,0.158986335,0.120040847
PCLF,0.557823484,0.411922113,0.105536183,0.263575884
PCLS,0.2374019,0.120862774,0.05952273,0.120040847
PIHF,0.396728526,0.347846653,0.056918985,0.056040316
PIHS,0.129573546,0.157111364,0.065881784,0.050780074
PILF,0.396728526,0.347846653,0.055147649,0.056040316
PILS,0.129573546,0.157111364,0.028580105,0.050780074
PMHF,0.578452827,0.164764448,0.099152768,0.090679414
PMHS,0.262748544,0.113632011,0.089822877,0.070934114
PMLF,0.578452827,0.164764448,0.081327983,0.090679414
PMLS,0.262748544,0.113632011,0.044667079,0.070934114
TAHF,0.95323784,0.205618411,0.3835927,0.286040166
TAHS,0.370626941,0.213878144,0.374503853,0.271517494
TALF,0.95323784,0.205618411,0.128431282,0.286040166
TALS,0.370626941,0.213878144,0.08479601,0.271517494
WCHF,0.186233746,0.218346455,0.9627036,0.685257205
WCHS,0.319815597,0.29572737,0.9868803,0.721223911
WCLF,0.186233746,0.218346455,0.111160475,0.685257205
WCLS,0.319815597,0.29572737,0.257672528,0.721223911
WIHF,0.471564811,0.129215213,0.076887549,0.069312796
WIHS,0.131576328,0.123041213,0.052721392,0.052018383
WILF,0.471564811,0.129215213,0.060801581,0.069312796
WILS,0.131576328,0.123041213,0.051305743,0.052018383
WMHF,0.576517423,0.125491021,0.103630405,0.109171006
WMHS,0.264052787,0.103438836,0.1474736,0.117695146
WMLF,0.576517423,0.125491021,0.114443682,0.109171006
WMLS,0.264052787,0.103438836,0.077174039,0.117695146
,,,,
max,1.36560639,0.411922113,0.9868803,
min,0.129573546,0.103438836,0.028580105,
mean,0.445073573,0.201618511,0.185410031,
median,0.345221269,0.160937906,0.094487823,
