time,X,DOC,type
0,JBHF,8.867,time-dep
0.1,JBHF,9.344027385,time-dep
0.2,JBHF,7.99862681,time-dep
0.3,JBHF,7.607338748,time-dep
0.4,JBHF,7.604566941,time-dep
0.5,JBHF,7.604547379,time-dep
0.6,JBHF,7.604547245,time-dep
0.7,JBHF,7.604547243,time-dep
0.8,JBHF,7.604547243,time-dep
0.9,JBHF,7.604547243,time-dep
1,JBHF,7.604547243,time-dep
1.1,JBHF,7.604547243,time-dep
1.2,JBHF,7.604547243,time-dep
1.3,JBHF,7.604547243,time-dep
1.4,JBHF,7.604547243,time-dep
1.5,JBHF,7.604547243,time-dep
1.6,JBHF,7.604547243,time-dep
1.7,JBHF,7.604547243,time-dep
1.8,JBHF,7.604547243,time-dep
1.9,JBHF,7.604547243,time-dep
2,JBHF,7.604547243,time-dep
2.1,JBHF,7.604547243,time-dep
2.2,JBHF,7.604547243,time-dep
2.3,JBHF,7.604547243,time-dep
2.4,JBHF,7.604547243,time-dep
2.5,JBHF,7.604547243,time-dep
2.6,JBHF,7.604547243,time-dep
2.7,JBHF,7.604547243,time-dep
2.8,JBHF,7.604547243,time-dep
2.9,JBHF,7.604547243,time-dep
3,JBHF,7.604547243,time-dep
3.1,JBHF,7.604547243,time-dep
3.2,JBHF,7.604547243,time-dep
3.3,JBHF,7.604547243,time-dep
3.4,JBHF,7.604547243,time-dep
3.5,JBHF,7.604547243,time-dep
3.6,JBHF,7.604547243,time-dep
3.7,JBHF,7.604547243,time-dep
3.8,JBHF,7.604547243,time-dep
3.9,JBHF,7.604547243,time-dep
4,JBHF,7.604547243,time-dep
4.1,JBHF,7.604547243,time-dep
4.2,JBHF,7.604547243,time-dep
4.3,JBHF,7.604547243,time-dep
4.4,JBHF,7.604547243,time-dep
4.5,JBHF,7.604547243,time-dep
4.6,JBHF,7.604547243,time-dep
4.7,JBHF,7.604547243,time-dep
4.8,JBHF,7.604547243,time-dep
4.9,JBHF,7.604547243,time-dep
5,JBHF,7.604547243,time-dep
5.1,JBHF,7.604547243,time-dep
5.2,JBHF,7.604547243,time-dep
5.3,JBHF,7.604547243,time-dep
5.4,JBHF,7.604547243,time-dep
5.5,JBHF,7.604547243,time-dep
5.6,JBHF,7.604547243,time-dep
5.7,JBHF,7.604547243,time-dep
5.8,JBHF,7.604547243,time-dep
5.9,JBHF,7.604547243,time-dep
6,JBHF,7.604547243,time-dep
6.1,JBHF,7.604547243,time-dep
6.2,JBHF,7.604547243,time-dep
6.3,JBHF,7.604547243,time-dep
6.4,JBHF,7.604547243,time-dep
6.5,JBHF,7.604547243,time-dep
6.6,JBHF,7.604547243,time-dep
6.7,JBHF,7.604547243,time-dep
6.8,JBHF,7.604547243,time-dep
6.9,JBHF,7.604547243,time-dep
7,JBHF,7.604547243,time-dep
7.1,JBHF,7.604547243,time-dep
7.2,JBHF,7.604547243,time-dep
7.3,JBHF,7.604547243,time-dep
7.4,JBHF,7.604547243,time-dep
7.5,JBHF,7.604547243,time-dep
7.6,JBHF,7.604547243,time-dep
7.7,JBHF,7.604547243,time-dep
7.8,JBHF,7.604547243,time-dep
7.9,JBHF,7.604547243,time-dep
8,JBHF,7.604547243,time-dep
8.1,JBHF,7.604547243,time-dep
8.2,JBHF,7.604547243,time-dep
8.3,JBHF,7.604547243,time-dep
8.4,JBHF,7.604547243,time-dep
8.5,JBHF,7.604547243,time-dep
8.6,JBHF,7.604547243,time-dep
8.7,JBHF,7.604547243,time-dep
8.8,JBHF,7.604547243,time-dep
8.9,JBHF,7.604547243,time-dep
9,JBHF,7.604547243,time-dep
9.1,JBHF,7.604547243,time-dep
9.2,JBHF,7.604547243,time-dep
9.3,JBHF,7.604547243,time-dep
9.4,JBHF,7.604547243,time-dep
9.5,JBHF,7.604547243,time-dep
9.6,JBHF,7.604547243,time-dep
9.7,JBHF,7.604547243,time-dep
9.8,JBHF,7.604547243,time-dep
9.9,JBHF,7.604547243,time-dep
10,JBHF,7.604547243,time-dep
10.1,JBHF,7.604547243,time-dep
10.2,JBHF,7.604547243,time-dep
10.3,JBHF,7.604547243,time-dep
10.4,JBHF,7.604547243,time-dep
10.5,JBHF,7.604547243,time-dep
10.6,JBHF,7.604547243,time-dep
10.7,JBHF,7.604547243,time-dep
10.8,JBHF,7.604547243,time-dep
10.9,JBHF,7.604547243,time-dep
11,JBHF,7.604547243,time-dep
11.1,JBHF,7.604547243,time-dep
11.2,JBHF,7.604547243,time-dep
11.3,JBHF,7.604547243,time-dep
11.4,JBHF,7.604547243,time-dep
11.5,JBHF,7.604547243,time-dep
11.6,JBHF,7.604547243,time-dep
11.7,JBHF,7.604547243,time-dep
11.8,JBHF,7.604547243,time-dep
11.9,JBHF,7.604547243,time-dep
12,JBHF,7.604547243,time-dep
12.1,JBHF,7.604547243,time-dep
12.2,JBHF,7.604547243,time-dep
12.3,JBHF,7.604547243,time-dep
12.4,JBHF,7.604547243,time-dep
12.5,JBHF,7.604547243,time-dep
12.6,JBHF,7.604547243,time-dep
12.7,JBHF,7.604547243,time-dep
12.8,JBHF,7.604547243,time-dep
12.9,JBHF,7.604547243,time-dep
13,JBHF,7.604547243,time-dep
13.1,JBHF,7.604547243,time-dep
13.2,JBHF,7.604547243,time-dep
13.3,JBHF,7.604547243,time-dep
13.4,JBHF,7.604547243,time-dep
13.5,JBHF,7.604547243,time-dep
13.6,JBHF,7.604547243,time-dep
13.7,JBHF,7.604547243,time-dep
13.8,JBHF,7.604547243,time-dep
13.9,JBHF,7.604547243,time-dep
14,JBHF,7.604547243,time-dep
14.1,JBHF,7.604547243,time-dep
14.2,JBHF,7.604547243,time-dep
14.3,JBHF,7.604547243,time-dep
14.4,JBHF,7.604547243,time-dep
14.5,JBHF,7.604547243,time-dep
14.6,JBHF,7.604547243,time-dep
14.7,JBHF,7.604547243,time-dep
14.8,JBHF,7.604547243,time-dep
14.9,JBHF,7.604547243,time-dep
15,JBHF,7.604547243,time-dep
15.1,JBHF,7.604547243,time-dep
15.2,JBHF,7.604547243,time-dep
15.3,JBHF,7.604547243,time-dep
15.4,JBHF,7.604547243,time-dep
15.5,JBHF,7.604547243,time-dep
15.6,JBHF,7.604547243,time-dep
15.7,JBHF,7.604547243,time-dep
15.8,JBHF,7.604547243,time-dep
15.9,JBHF,7.604547243,time-dep
16,JBHF,7.604547243,time-dep
16.1,JBHF,7.604547243,time-dep
16.2,JBHF,7.604547243,time-dep
16.3,JBHF,7.604547243,time-dep
16.4,JBHF,7.604547243,time-dep
16.5,JBHF,7.604547243,time-dep
16.6,JBHF,7.604547243,time-dep
16.7,JBHF,7.604547243,time-dep
16.8,JBHF,7.604547243,time-dep
16.9,JBHF,7.604547243,time-dep
17,JBHF,7.604547243,time-dep
17.1,JBHF,7.604547243,time-dep
17.2,JBHF,7.604547243,time-dep
17.3,JBHF,7.604547243,time-dep
17.4,JBHF,7.604547243,time-dep
17.5,JBHF,7.604547243,time-dep
17.6,JBHF,7.604547243,time-dep
17.7,JBHF,7.604547243,time-dep
17.8,JBHF,7.604547243,time-dep
17.9,JBHF,7.604547243,time-dep
18,JBHF,7.604547243,time-dep
18.1,JBHF,7.604547243,time-dep
18.2,JBHF,7.604547243,time-dep
18.3,JBHF,7.604547243,time-dep
18.4,JBHF,7.604547243,time-dep
18.5,JBHF,7.604547243,time-dep
18.6,JBHF,7.604547243,time-dep
18.7,JBHF,7.604547243,time-dep
18.8,JBHF,7.604547243,time-dep
18.9,JBHF,7.604547243,time-dep
19,JBHF,7.604547243,time-dep
19.1,JBHF,7.604547243,time-dep
19.2,JBHF,7.604547243,time-dep
19.3,JBHF,7.604547243,time-dep
19.4,JBHF,7.604547243,time-dep
19.5,JBHF,7.604547243,time-dep
19.6,JBHF,7.604547243,time-dep
19.7,JBHF,7.604547243,time-dep
19.8,JBHF,7.604547243,time-dep
19.9,JBHF,7.604547243,time-dep
20,JBHF,7.604547243,time-dep
20.1,JBHF,7.604547243,time-dep
20.2,JBHF,7.604547243,time-dep
20.3,JBHF,7.604547243,time-dep
20.4,JBHF,7.604547243,time-dep
20.5,JBHF,7.604547243,time-dep
20.6,JBHF,7.604547243,time-dep
20.7,JBHF,7.604547243,time-dep
20.8,JBHF,7.604547243,time-dep
20.9,JBHF,7.604547243,time-dep
21,JBHF,7.604547243,time-dep
21.1,JBHF,7.604547243,time-dep
21.2,JBHF,7.604547243,time-dep
21.3,JBHF,7.604547243,time-dep
21.4,JBHF,7.604547243,time-dep
21.5,JBHF,7.604547243,time-dep
21.6,JBHF,7.604547243,time-dep
21.7,JBHF,7.604547243,time-dep
21.8,JBHF,7.604547243,time-dep
21.9,JBHF,7.604547243,time-dep
22,JBHF,7.604547243,time-dep
22.1,JBHF,7.604547243,time-dep
22.2,JBHF,7.604547243,time-dep
22.3,JBHF,7.604547243,time-dep
22.4,JBHF,7.604547243,time-dep
22.5,JBHF,7.604547243,time-dep
22.6,JBHF,7.604547243,time-dep
22.7,JBHF,7.604547243,time-dep
22.8,JBHF,7.604547243,time-dep
22.9,JBHF,7.604547243,time-dep
23,JBHF,7.604547243,time-dep
23.1,JBHF,7.604547243,time-dep
23.2,JBHF,7.604547243,time-dep
23.3,JBHF,7.604547243,time-dep
23.4,JBHF,7.604547243,time-dep
23.5,JBHF,7.604547243,time-dep
23.6,JBHF,7.604547243,time-dep
23.7,JBHF,7.604547243,time-dep
23.8,JBHF,7.604547243,time-dep
23.9,JBHF,7.604547243,time-dep
24,JBHF,7.604547243,time-dep
0,JBHS,8.385,time-dep
0.1,JBHS,6.505609251,time-dep
0.2,JBHS,5.66575513,time-dep
0.3,JBHS,4.9593339,time-dep
0.4,JBHS,4.874724855,time-dep
0.5,JBHS,4.864590874,time-dep
0.6,JBHS,4.863377281,time-dep
0.7,JBHS,4.86323177,time-dep
0.8,JBHS,4.8632144,time-dep
0.9,JBHS,4.863212332,time-dep
1,JBHS,4.863212092,time-dep
1.1,JBHS,4.863212059,time-dep
1.2,JBHS,4.863212054,time-dep
1.3,JBHS,4.863212054,time-dep
1.4,JBHS,4.863212053,time-dep
1.5,JBHS,4.863212053,time-dep
1.6,JBHS,4.863212053,time-dep
1.7,JBHS,4.863212053,time-dep
1.8,JBHS,4.863212053,time-dep
1.9,JBHS,4.863212053,time-dep
2,JBHS,4.863212053,time-dep
2.1,JBHS,4.863212053,time-dep
2.2,JBHS,4.863212053,time-dep
2.3,JBHS,4.863212053,time-dep
2.4,JBHS,4.863212053,time-dep
2.5,JBHS,4.863212053,time-dep
2.6,JBHS,4.863212053,time-dep
2.7,JBHS,4.863212053,time-dep
2.8,JBHS,4.863212053,time-dep
2.9,JBHS,4.863212053,time-dep
3,JBHS,4.863212053,time-dep
3.1,JBHS,4.863212053,time-dep
3.2,JBHS,4.863212053,time-dep
3.3,JBHS,4.863212053,time-dep
3.4,JBHS,4.863212053,time-dep
3.5,JBHS,4.863212053,time-dep
3.6,JBHS,4.863212053,time-dep
3.7,JBHS,4.863212053,time-dep
3.8,JBHS,4.863212053,time-dep
3.9,JBHS,4.863212053,time-dep
4,JBHS,4.863212053,time-dep
4.1,JBHS,4.863212053,time-dep
4.2,JBHS,4.863212053,time-dep
4.3,JBHS,4.863212053,time-dep
4.4,JBHS,4.863212053,time-dep
4.5,JBHS,4.863212053,time-dep
4.6,JBHS,4.863212053,time-dep
4.7,JBHS,4.863212053,time-dep
4.8,JBHS,4.863212053,time-dep
4.9,JBHS,4.863212053,time-dep
5,JBHS,4.863212053,time-dep
5.1,JBHS,4.863212053,time-dep
5.2,JBHS,4.863212053,time-dep
5.3,JBHS,4.863212053,time-dep
5.4,JBHS,4.863212053,time-dep
5.5,JBHS,4.863212053,time-dep
5.6,JBHS,4.863212053,time-dep
5.7,JBHS,4.863212053,time-dep
5.8,JBHS,4.863212053,time-dep
5.9,JBHS,4.863212053,time-dep
6,JBHS,4.863212053,time-dep
6.1,JBHS,4.863212053,time-dep
6.2,JBHS,4.863212053,time-dep
6.3,JBHS,4.863212053,time-dep
6.4,JBHS,4.863212053,time-dep
6.5,JBHS,4.863212053,time-dep
6.6,JBHS,4.863212053,time-dep
6.7,JBHS,4.863212053,time-dep
6.8,JBHS,4.863212053,time-dep
6.9,JBHS,4.863212053,time-dep
7,JBHS,4.863212053,time-dep
7.1,JBHS,4.863212053,time-dep
7.2,JBHS,4.863212053,time-dep
7.3,JBHS,4.863212053,time-dep
7.4,JBHS,4.863212053,time-dep
7.5,JBHS,4.863212053,time-dep
7.6,JBHS,4.863212053,time-dep
7.7,JBHS,4.863212053,time-dep
7.8,JBHS,4.863212053,time-dep
7.9,JBHS,4.863212053,time-dep
8,JBHS,4.863212053,time-dep
8.1,JBHS,4.863212053,time-dep
8.2,JBHS,4.863212053,time-dep
8.3,JBHS,4.863212053,time-dep
8.4,JBHS,4.863212053,time-dep
8.5,JBHS,4.863212053,time-dep
8.6,JBHS,4.863212053,time-dep
8.7,JBHS,4.863212053,time-dep
8.8,JBHS,4.863212053,time-dep
8.9,JBHS,4.863212053,time-dep
9,JBHS,4.863212053,time-dep
9.1,JBHS,4.863212053,time-dep
9.2,JBHS,4.863212053,time-dep
9.3,JBHS,4.863212053,time-dep
9.4,JBHS,4.863212053,time-dep
9.5,JBHS,4.863212053,time-dep
9.6,JBHS,4.863212053,time-dep
9.7,JBHS,4.863212053,time-dep
9.8,JBHS,4.863212053,time-dep
9.9,JBHS,4.863212053,time-dep
10,JBHS,4.863212053,time-dep
10.1,JBHS,4.863212053,time-dep
10.2,JBHS,4.863212053,time-dep
10.3,JBHS,4.863212053,time-dep
10.4,JBHS,4.863212053,time-dep
10.5,JBHS,4.863212053,time-dep
10.6,JBHS,4.863212053,time-dep
10.7,JBHS,4.863212053,time-dep
10.8,JBHS,4.863212053,time-dep
10.9,JBHS,4.863212053,time-dep
11,JBHS,4.863212053,time-dep
11.1,JBHS,4.863212053,time-dep
11.2,JBHS,4.863212053,time-dep
11.3,JBHS,4.863212053,time-dep
11.4,JBHS,4.863212053,time-dep
11.5,JBHS,4.863212053,time-dep
11.6,JBHS,4.863212053,time-dep
11.7,JBHS,4.863212053,time-dep
11.8,JBHS,4.863212053,time-dep
11.9,JBHS,4.863212053,time-dep
12,JBHS,4.863212053,time-dep
12.1,JBHS,4.863212053,time-dep
12.2,JBHS,4.863212053,time-dep
12.3,JBHS,4.863212053,time-dep
12.4,JBHS,4.863212053,time-dep
12.5,JBHS,4.863212053,time-dep
12.6,JBHS,4.863212053,time-dep
12.7,JBHS,4.863212053,time-dep
12.8,JBHS,4.863212053,time-dep
12.9,JBHS,4.863212053,time-dep
13,JBHS,4.863212053,time-dep
13.1,JBHS,4.863212053,time-dep
13.2,JBHS,4.863212053,time-dep
13.3,JBHS,4.863212053,time-dep
