 ,Post DOC (mg/L),DOC,phase
JBHF1,294.23,8.8269,init
JBHS1,213.93,6.4179,init
JBLF1,22.33,0.6699,init
JBLS1,23.03,0.6909,init
JBHF2,324.2,9.726,init
JBHS2,219.63,6.5889,init
JBLF2,32.92,0.9876,init
JBLS2,32.74,0.9822,init
JBHF3,267.83,8.0349,init
JBHS3,176.9,5.307,init
JBLF3,27.28,0.8184,init
JBLS3,28.99,0.8697,init
JBHF4,262.4,7.872,long
JBHS4,170.07,5.1021,long
JBLF4,31.66,0.9498,long
JBLS4,30.26,0.9078,long
JBHF5,241.53,7.2459,long
JBHS5,156.83,4.7049,long
JBLF5,30.92,0.9276,long
JBLS5,34.49,1.0347,long
JBHF6,243.83,7.3149,long
JBHS6,155.23,4.6569,long
JBLF6,34.08,1.0224,long
JBLS6,36.59,1.0977,long
JBHF7,241.73,7.2519,long
JBHS7,155.3,4.659,long
JBLF7,36.63,1.0989,long
JBLS7,37.54,1.1262,long
TAHF1,300.6,9.018,init
TAHS1,248.27,7.4481,init
TALF1,33.31,0.9993,init
TALS1,21.7,0.651,init
TAHF2,358.43,10.7529,init
TAHS2,284.67,8.5401,init
TALF2,47.81,1.4343,init
TALS2,43.59,1.3077,init
TAHF3,346.73,10.4019,init
TAHS3,280.13,8.4039,init
TALF3,40.63,1.2189,init
TALS3,33.62,1.0086,init
TAHF4,303.87,9.1161,long
TAHS4,231.5,6.945,long
TALF4,42.55,1.2765,long
TALS4,30.64,0.9192,long
TAHF5,307.7,9.231,long
TAHS5,229.07,6.8721,long
TALF5,47.76,1.4328,long
TALS5,34.57,1.0371,long
TAHF6,308.1,9.243,long
TAHS6,224.43,6.7329,long
TALF6,51.06,1.5318,long
TALS6,37.75,1.1325,long
TAHF7,313.5,9.405,long
TAHS7,233.2,6.996,long
TALF7,54.36,1.6308,long
TALS7,37.68,1.1304,long
WCHF1,200.4333333,6.013,init
WCHS1,182.1666667,5.465,init
WCLF1,23.27,0.6981,init
WCLS1,28.46333333,0.8539,init
WCHF2,169.2666667,2.539,init
WCHS2,124.8666667,1.873,init
WCLF2,20.93333333,0.314,init
WCLS2,20.71,0.31065,init
WCHF3,177.9333333,2.669,init
WCHS3,129.6333333,1.9445,init
WCLF3,21.51333333,0.3227,init
WCLS3,22.21666667,0.33325,init
WCHF4,185.2666667,2.779,long
WCHS4,139.6,2.094,long
WCLF4,23.16666667,0.3475,long
WCLS4,20.45666667,0.30685,long
WCHF5,183.05,2.74575,long
WCHS5,131.1,1.9665,long
WCLF5,29.15,0.43725,long
WCLS5,23.73666667,0.35605,long
WCHF6,186.6,2.799,long
WCHS6,123.5666667,1.8535,long
WCLF6,31.66333333,0.47495,long
WCLS6,26.08666667,0.3913,long
WCHF7,178.6,2.679,long
WCHS7,118.3666667,1.7755,long
WCLF7,31.85,0.47775,long
WCLS7,25.12666667,0.3769,long
WIHF1,223.05,3.34575,init
WIHS1,194.95,2.92425,init
WILF1,21.50666667,0.3226,init
