kdes_fast,kdes_slow,kads,X
51.24721506,28.62315041,20.87658166,JBHF
12.8619233,8.009743882,13.21194022,JBHS
5.074608822,4.851885767,17.58441461,JBLF
4.728848343,4.798717488,17.68561795,JBLS
6.6394,0.4449,0.0765,TAHF
2.432102908,1.064393764,0.570517146,TAHS
15.48510266,14.38044769,8.181852794,TALF
9.025385821,5.397910214,5.74513175,TALS
39.478,1.503,0.7094,WCHF
41.259,1.179,1.259,WCHS
69.79566776,39.66660338,65.4370673,WCLF
868.9633833,4.932431215,10.10164355,WCLS
1.140129687,0.29054381,0.044721651,WIHF
0.794863205,1.663895311,0.899940024,WIHS
2.401023225,0.354553043,0.201233044,WILF
6.687179862,9.439443647,14.1604903,WILS
124.611,56.402,7.514,WMHF
9.123,2.214,0.92,WMHS
402.1066605,18.82042097,6.846251776,WMLF
20.35088857,8.552475881,7.647294611,WMLS
50,2.814594871,0.164922277,PCHF
1.797006039,7.459688436,2.350546002,PCHS
7.101661938,10.58591782,8.073466321,PCLF
17.86608619,25.79135584,31.71877,PCLS
2.985609711,3.178139218,0.553925568,PIHF
23.54073156,18.62390542,8.63705013,PIHS
11.5427744,14.58996765,14.1461653,PILF
18.18837076,22.73171023,41.30378174,PILS
130.1098588,238.1344914,23.32307649,PMHF
0.610103332,0,0.00563556,PMHS
25.78112519,55.69961652,23.55310717,PMLF
16.14299677,25.85130407,24.64190478,PMLS
