"X","RMSE","AAE","MEF","SpCorr"
"JBHF",0.770265505640218,0.521936619855824,0.191058009529642,0.837121377562538
"JBHS",0.496001217530206,0.355642794553071,0.838445513243959,0.95150257112482
"JBLF",0.0801164818059945,0.0564304146262949,0.931517007657908,0.43915503282684
"JBLS",0.082593476137791,0.0634410047979772,0.929381837138521,0.902707567477393
"TAHF",0.383592723051213,0.282695413081681,0.656646375683828,0.547619047619048
"TAHS",0.390839378720794,0.267603958018117,0.713433951881931,0.738095238095238
"TALF",0.128934000302084,0.10033560987119,0.917593831955617,0.390360029179413
"TALS",0.102072556648714,0.0838157993564111,0.91375731402408,0.609937545592833
"WCHF",0.962703561005988,0.588121339393329,0.217001668110235,0.0714285714285714
"WCHS",0.986880282445368,0.627770360009969,0.297506430172838,0.619047619047619
"WCLF",0.0836976444639761,0.0712547269227381,0.771619520506733,0.304407773659105
"WCLS",0.1346824249665,0.0899952604280881,0.563236383608871,0.29277002188456
"WIHF",0.0750744563564273,0.0468145009542361,0.818520931142185,0.904761904761905
"WIHS",0.0607605157206588,0.0493800664361634,0.859045345182878,0.742528282386221
"WILF",0.062507957557548,0.0431497313461938,0.91744897918802,0.976190476190476
"WILS",0.0577258023082413,0.0483108469496165,0.796245025511827,0.975900072948533
"WMHF",0.0957849989634555,0.078989771315268,0.819660476716371,0.786386748619354
"WMHS",0.147473628574822,0.0938226902233376,0.430024703685164,0.922172221673209
"WMLF",0.0799945535776472,0.0635286665679618,0.921179964015479,0.463552534650553
"WMLS",0.0511850103488109,0.0445841268360427,0.918773290575863,0.341565025531987
"PCHF",0.357508684288695,0.248191909348973,-0.196463527359512,-0.107786363572193
"PCHS",0.234577951747077,0.139384348332009,0.464360775240992,0.414757531003127
"PCLF",0.114475635654293,0.0979379718225104,0.693257126033911,0.902707567477393
"PCLS",0.0688461790642347,0.058177496923076,0.755358693917006,0.913223320977314
"PIHF",0.0577417903600279,0.0379965249201332,0.801412158204649,0.850314645958414
"PIHS",0.0599887506718087,0.0440261805016433,0.778139066448842,0.561142541945407
"PILF",0.0585194323679333,0.0481815322086736,0.878244553188437,0.95150257112482
"PILS",0.0331083588752607,0.0260589616217585,0.894039509015982,0.938590635448906
"PMHF",0.12577668980265,0.0862743521282279,0.731694295647754,0.684917490732985
"PMHS",0.0966244596462802,0.0762740029076379,0.292757286119439,0.619047619047619
"PMLF",0.106305803613038,0.0883590059778057,0.812901609661939,0.849805034798334
"PMLS",0.0592136705276003,0.0502253399777843,0.858186248014595,0.875172349269926
